AlgaeBloomReportID,UpdatedOn,CreatedOn,RegionalBoardID,CountyID,Latitude,Longitude,ObservationDate,HasPostedSigns,HasContactWithWater,WaterBodyType,WaterBodyName,WaterBodyManager,RecLandManager,IsIncidentResoloved,IncidentInformation,TypeofSign,OfficialWaterBodyName,BloomLastVerifiedOn,BloomDeterminedBy,ApprovedforPost
2382,9/18/2020 11:10,11:06.5,9,37,33.14209,-117.32131,8/24/2020,No,Yes,,Agua Hedionda Lagoon,,,Yes,"9/17/2020: Follow-up water and mat sampling occurred on 9/10. Benthic mat was very sparse on north shore of lagoon. A very low amount of Oscillatoria sp. was present in the mat. No cyanobacteria were present in the water sample taken in a pooled greenish area. No advisory.

9/3/2020: Water and algal mat samples collected on 8/26. Algal mat sample contained a low amount of Oscillatoria sp. & Kamptonema sp., and no toxins were detected. No cyanobacteria identified in the water sample. Posting of general awareness (GA) signs for algal mats is recommended, GA signs are considered informational and not a recreational advisory).

8/25/2020: Received notification of dog illness a day after swimming in the lagoon, potential bloom. R9 staff is going to observe and collect samples on 8/26/2020. Will follow up with photos and sample results.",None,"Agua Hedionda Lagoon, near Bayshore Drive",9/10/2020,Both,TRUE
1771,8/31/2018 0:00,02:33.7,2,43,37.240808,-121.87344,6/13/2018,Yes,No,Lake,Almaden Lake,Water: Santa Clara Valley Water District; Recreation: City of San Jose,City of San Jose,No,"Lake Almaden was opened to boating activities prior to July 4 holiday and remains open. The late August Water Lantern Festival was held without water contact. The City of San Jose monitors frequently, and if water quality deteriorates they will post appropriate signs and update this webpage: https://www.sanjoseca.gov/Facilities/Facility/Details/Almaden-Lake-Regional-Park-2",CAUTION,Lake Almaden,9/14/2018,Analytical,TRUE
2228,4/30/2020 11:19,45:25.0,5,34,38.58124,-121.42116,4/19/2020,No,Yes,River,American River at Paradise Beach,,Sacramento County Regional Parks; (916) 875-5656;,No,"4/28/2020: On 4/22/2020 Regional Water Board staff collected water samples. Lab analysis confirmed that the bloom of algal mats is comprised of a mixture of algae and cyanobacteria, no cyanotoxins were detected. Based on these results, we recommend posting of a general awareness sign for toxic algal mats in the impacted area. These posting states that toxic algal mats may be present and for children and dogs to avoid contact with algal mats. 

On 4/19/2020 HAB Hotline received report from Sacramento County of potential harmful algae bloom occurring along shoreline of Paradise Beach on American River. Based on observations of the site, a mixture of algae and cyanobacteria mats is occurring along the shoreline in slow moving areas. Regional Water Board staff are coordinating a field investigation to determine presence of cyanobacteria and collection of water samples for testing. We recommend children and dogs to avoid contact with algal material (mats, scum). 

For more information, contact Regional Parks at: (https://regionalparks.saccounty.net/Parks/Pages/ParadiseBeach.aspx)",,"American River, Paradise Beach",4/22/2020,Both,TRUE
2254,6/24/2020 8:44,07:29.6,5,32,40.1805,-120.6057,5/11/2020,No,No,,Antelope Lake,CA Dept. of Water Resources (916) 653-8743,US Forest Service,No,"California Department of Water Resources conducts cyanobacteria monitoring at Antelope Lake in response to observed algal blooms. DWR Public Affairs Office (916) 653-8743

6/15/20: No toxigenic cyanobacteria observed. Toxins not analyzed.

6/2/20: No potentially toxigenic cyanobacteria in water sample. Toxin not analyzed. 

4/29/2020: No cyanotoxins were detected in water samples.",None,Antelope Lake,6/15/2020,Observation,TRUE
1874,12/4/2018 0:00,34:18.8,5,7,38.019659,-121.75098,10/2/2018,No,No,Estuary and River,Antioch/Oakley Regional Shoreline,,East Bay Regional Park,Yes,"12/04/18: Bloom Subsided. No advisory.

10/05/2018: East Bay Regional Park staff identified some green cyanobacteria flakes (most likely Microcystis) at the kayak launch area on October 02, 2018.  A water sample was tested for Microcystin, using the Abraxis field strip test kit. Result was non-detect.  Public should avoid water contact with the flakes. Contact Hal MacLean, East Bay Regional Park District Water Management Supervisor at (510) 544-2328 for more information.",None,Antioch/Oakley Regional Shoreline,10/2/2018,Analytical,TRUE
1472,8/24/2016 0:00,25:52.1,5,45,40.881943,-122.37732,8/24/2016,No,No,Lake,Antlers area of Shasta Lake,,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Antlers Area,8/24/2016,Analytical,TRUE
2224,3/24/2020 16:56,30:24.1,5,57,38.530063,-121.76046,8/5/2019,Yes,No,,"Arboretum Waterway, UC Davis",UC Davis Arboretum and Public Garden,,No,"10/02/2019: Advisory signs removed. 

8/22/2019: Water testing detected low concentrations of microcystins and anatoxin-a. Caution advisory signs are posted at lake to inform dog owners.

UC Davis Arboretum staff observed potential cyanoHAB and samples were collected on 8/23/2019.",None,"UC Davis, Arboretum Waterway",9/5/2019,Both,TRUE
1772,12/4/2018 0:00,43:18.5,5,34,38.6849955,-121.27001,6/23/2018,No,No,Lake,Arcade Lake near 7900 Arcade Lake Lane 95610,Arcade Lake Condominium Association,City of Citrus Heights,Yes,"12/04/18: Bloom subsided.

06/25/18: Report of a suspected cyanoHAB by local resident.  Waterbody appears to be a small manmade lake with condos surrounding it.  Called the property manager and left voicemail.",None,Arcade Lake,6/23/2018,Observation,TRUE
1425,4/11/2017 0:00,6/1/2016 0:00,2,1,37.6684618,-121.84425,6/1/2016,Yes,No,River,Arroyo Del Valle,East Bay Regional Parks District,East Bay Regional Parks District,Yes,"UPDATE 9/1/2016: East Bay Regional Parks District removed signs because no visual indicators.
Blue green algae identified, precautionary sign posted to avoid contact with algae and rinse off  both humans and their canines  after water contact (swimming is allowed)",For current sign see 2017 bloom #1639,Arroyo Del Valle in Shadow Cliffs Regional Park,7/1/2016,"Observation, Analytical",TRUE
1639,3/9/2018 0:00,56:36.2,2,1,37.6684618,-121.84425,8/25/2017,Yes,No,Artificial Ponds,Arroyo Del Valle in Shadow Cliffs Regional Park,East Bay Regional Park District,East Bay Regional Park District,Yes,Bloom dissipated and advisory signs removed in January 2018. Routine monitoring by Parks staff continues.,None,Arroyo Del Valle in Shadow Cliffs Regional Park,10/19/2017,Observation,TRUE
1526,,57:02.3,3,40,35.4654,-120.667,4/19/2017,No,Yes,Lake,Atascadero Lake,"Nick Debar, Public Works Director",TBD,No,"Water Board staff observed and sampled bloom.  Bloom is primarily visible as scum along edge of lake and is exclusively Dolichospermum. Analytical results show low but detectable levels of microcystin, anatoxin-a, and saxitoxin.  Staff spoke with Public Works Director and recommended posting of Caution signs based on detections of anatoxin-a.  Staff provided information and web links to thresholds, signage, and decision tree.",In progress,Atascadero Lake,4/20/2017,Analytical Test,TRUE
1621,1/3/2018 0:00,51:55.6,5,15,35.643534,-118.46811,7/19/2017,Yes,Yes,Lake,AUXILLARY DAM REC,USArmy Corps,USDA Forest Service,Yes,"UPDATE: Signs removed. Sampling concluded for the year.

Kern County Environmental Health sampled the lake at this location. Toxin test results found  0.38 ug/L, which is below the Caution level.  Signs were posted alerted visitors of the presence of cyanobacteria.  For more information, contact the Kern County Environmental Health Department at (661) 321-3000.",None,"Lake Isabella near the Auxiliary Dam Campground, off State Rt 178",7/19/2017,Analytical,TRUE
2343,8/28/2020 16:59,37:11.3,5,57,38.563871,-121.5502,7/25/2020,No,Yes,,Barge Canal / Turning Basin / Lake Washington,,Port of Sacramento,No,"Update: Water sample collected from shoreline and microcystins detected below advisory thresholds. Observation of cyanobacteria was confirmed and caution advisory recommendation continues.

On 7/28/20 report submitted observing cyanobacteria bloom in the open water of the turning basin and barge canal. The bloom appears suspended in the water column and floating colonies of cyanobaceria getting denser at the turning basin, the bloom is not easily observed from the shoreline/docks. Recommend caution advisory until further notice.",Caution,"Lake Washington, at Barge Canal/Turning Basin",8/7/2020,Both,TRUE
1537,7/12/2017 0:00,06:48.1,5,48,38.275987,-121.79708,5/16/2017,No,No,Slough,Barker Slough Pumping Plant,Department of Water Resources and Solano County Water Agency,No land recreation in this area; boating and fishing permitted within surrounding sloughs,Yes,"UPDATE: Continued routine monitoring by DWR has not found any futher detection of microcystin at this site.  If new information becomes available, record will be updated.

On May 16, 2017 DWR conducted their routine monitoring of the State Water Project facilities.  Lab analysis using ELISA found 0.29 ppb of microcystin at the Barker Slough Pumping Plant.  Lab value is below advisory level for finished drinking water.  DWR notified Solano County Water Agency.  Routine monitoring will continue and updates will be posted as conditions change.",None,Barker Slough at the Pumping Plant,6/20/2017,Elisa Kit,TRUE
2257,5/27/2020 12:00,34:47.3,9,37,32.691367,-116.67184,5/7/2020,No,No,Lake,Barrett Reservoir,"City of San Diego
Dan Daft",,Yes,"5/26/2020: City of San Diego reported that the ELISA analyses for cylindrospermopsin, total microcystins and nodularin were all non-detect.

5/7/2020: City of San Diego reservoir manager visited the lake and collected samples. Staff noted a heavy universal bloom. Species ID included  Limnothrix, Cylindrospermopsis and Anabena. Samples were collected for cyanotoxin analyses. Awaitiong results.

5/4/2020: Bloom notification via satellite imagery",None,Barrett Reservoir,5/26/2020,observation,TRUE
2500,11/13/2020 13:19,31:34.9,1,53,40.209426,-123.26263,11/6/2020,No,No,,"Barry Creek, tributary to Mad River and Ruth Lake",,Trinity County,No,"11/13/2020: Samples collected on 11/6 showed 0.16 ug/L of microcystin in the creek water. Toxins are being produced in attached algal mats. Caution advisory remains and we recommend avoiding contact with algal mat material. 

11/6/2020: Trinity County officials have warned people of potential contamination to drinking water pulled from Barry Creek a tributary to Mad River and Ruth Lake. The recommendation is to DO NOT DRINK and DO NOT BOIL drinking water until further notice. For questions please contact Trinity County Environmental Health at (530) 623-1459.",Caution,"Barry Creek, tributary to Mad River and Ruth Lake",11/6/2020,Both,TRUE
2305,7/15/2020 15:59,23:34.8,2,1,37.780264,-122.30641,7/7/2020,No,Yes,,Bay in Naval Air Station area - Seaplane Lagoon area,,Unknown,No,7/15/2020: Report submitted observing bright green algae bloom about 100 yards wide in cove near docks. Area is visited often by dog walkers. Regional Water Board is coordinating an investigation. Please keep dog out of the water until further notice.,,Cove near Naval Air Station area and Seaplane Lagoon,7/15/2020,Observation,TRUE
2266,6/10/2020 15:47,54:50.7,5,7,37.91561,-121.59107,6/4/2020,No,Yes,,"Beaver Bay in Discovery Bay , Ca.",Town of Discovery Bay; (925)634-1131; https://www.todb.ca.gov/quick-link/algae-update-discovery-bay,,No,"6/10/2020: Surface scum samples collected June-4 at other locations in Discovery Bay contained microcystins in excess of 40 ug/L. This site was not sampled, the Caution advisory remains, and any algal material should be avoided.


On 6/4/2020 report submitted of suspected cyanobacteria HAB in Beaver Bay. Dense accumulation of scum and white crusts accumulated near the docks and discolored green water extends out of the bay and nearby areas. Swimming was observed in the area. 
Regional Water Board staff collected water samples on 6/4 and confirmed the HAB. Recommend CAUTION advisory, the local health agency is preparing to post advisories.",CAUTION,"Discovery Bay, Indian Bay",6/4/2020,Observation,TRUE
